,Season,date,site,plot_ID,Elevation,channel_dist,ave_ht,cover,vol_est,vol_calc,density_naive,density_final,frontal_total,frontal_5,frontal_10,frontal_15,frontal_20,frontal_25,frontal_30,wc_height
0,Summer,7/28/2021,Bay,A0.5,2.1313,0.5,6.5,0.1,6500,233.351056983764,267.040006167696,630.481094184055,1103.44999729538,848.807690227219,254.642307068166,0.0,0.0,0.0,0.0,0.6759
1,Summer,7/28/2021,Bay,A2,2.3217,2.0,11.0,0.45,49500,1777.0580493379,2033.61235466169,2837.16492382825,8403.19613324947,3819.63460602249,3819.63460602249,763.926921204497,0.0,0.0,0.0,0.48550000000000004
2,Summer,7/28/2021,Bay,A6,2.2421,6.0,19.0,0.55,104500,3751.56699304668,4293.18163761912,3467.6460180123,17740.0807257489,4668.44229624971,4668.44229624971,4668.44229624971,3734.75383699976,0.0,0.0,0.5650999999999997
3,Summer,7/28/2021,Bay,A12,2.2417,12.0,15.0,0.75,112500,4038.76829394977,4621.84626059474,4728.60820638041,19098.1730301124,6366.05767670414,6366.05767670414,6366.05767670414,0.0,0.0,0.0,0.5655000000000001
4,Summer,7/28/2021,Bay,A24,2.2217,24.0,11.0,0.55,60500,2171.95983807965,2485.52621125317,3467.6460180123,10270.5730517494,4668.44229624971,4668.44229624971,933.688459249941,0.0,0.0,0.0,0.5855000000000001
5,Summer,7/28/2021,Bay,A48,2.1789,48.0,16.0,0.75,120000,4308.01951354642,4929.96934463439,4728.60820638041,20371.3845654533,6366.05767670414,6366.05767670414,6366.05767670414,1273.21153534083,0.0,0.0,0.6282999999999999
6,Summer,7/28/2021,Bay,A72,2.1308,72.0,24.0,0.65,156000,5600.42536761035,6408.96014802471,4098.12711219636,26482.7999350892,5517.24998647693,5517.24998647693,5517.24998647693,5517.24998647693,4413.79998918154,0.0,0.6764000000000001
7,Summer,7/28/2021,Bay,B0.5,2.145,0.5,6.0,0.25,15000,538.502439193303,616.246168079299,1576.20273546014,2546.42307068166,2122.01922556805,424.403845113609,0.0,0.0,0.0,0.0,0.6621999999999999
8,Summer,7/28/2021,Bay,B2,2.3126,2.0,7.0,0.45,31500,1130.85512230594,1294.11695296653,2837.16492382825,5347.48844843148,3819.63460602249,1527.85384240899,0.0,0.0,0.0,0.0,0.4945999999999997
9,Summer,7/28/2021,Bay,B6,2.2516,6.0,13.0,0.65,84500,3033.56374078894,3471.52008018005,4098.12711219636,14344.84996484,5517.24998647693,5517.24998647693,3310.34999188615,0.0,0.0,0.0,0.5556000000000001
10,Summer,7/28/2021,Bay,B12,2.2291,12.0,18.0,0.7,126000,4523.42048922374,5176.46781186611,4413.36765928838,21389.9537937259,5941.65383159053,5941.65383159053,5941.65383159053,3564.99229895432,0.0,0.0,0.5781000000000001
11,Summer,7/28/2021,Bay,B24,2.219,24.0,26.0,0.85,221000,7933.93593744799,9079.36020970167,5359.08930056447,37517.2999080431,7214.86536693136,7214.86536693136,7214.86536693136,7214.86536693136,7214.86536693136,1442.97307338627,0.5882000000000001
12,Summer,7/28/2021,Bay,B48,2.1816,48.0,11.0,0.85,93500,3356.66520430492,3841.26778102763,5359.08930056447,15872.703807249,7214.86536693136,7214.86536693136,1442.97307338627,0.0,0.0,0.0,0.6255999999999999
13,Summer,7/28/2021,Bay,B72,2.1409,72.0,20.0,0.75,150000,5385.02439193303,6162.46168079299,4728.60820638041,25464.2307068166,6366.05767670414,6366.05767670414,6366.05767670414,6366.05767670414,0.0,0.0,0.6663000000000001
14,Summer,7/28/2021,Bay,C0.5,2.1934,0.5,6.0,0.15,9000,323.101463515982,369.747700847579,945.721641276082,1527.85384240899,1273.21153534083,254.642307068166,0.0,0.0,0.0,0.0,0.6137999999999999
15,Summer,7/28/2021,Bay,C2,2.2569,2.0,8.0,0.6,48000,1723.20780541857,1971.98773785376,3782.88656510433,8148.5538261813,5092.84614136331,3055.70768481799,0.0,0.0,0.0,0.0,0.5503
16,Summer,7/28/2021,Bay,C6,2.2833,6.0,19.0,0.65,123500,4433.67008269153,5073.76011718623,4098.12711219636,20965.5499486123,5517.24998647693,5517.24998647693,5517.24998647693,4413.79998918154,0.0,0.0,0.5238999999999998
17,Summer,7/28/2021,Bay,C12,2.2625,12.0,25.0,0.9,225000,8077.53658789954,9243.69252118949,5674.32984765649,38196.3460602249,7639.26921204497,7639.26921204497,7639.26921204497,7639.26921204497,7639.26921204497,0.0,0.5446999999999997
18,Summer,7/28/2021,Bay,C24,2.2663,24.0,14.0,0.85,119000,4272.11935093353,4888.88626676244,5359.08930056447,20201.6230274078,7214.86536693136,7214.86536693136,5771.89229354509,0.0,0.0,0.0,0.5408999999999997
19,Summer,7/28/2021,Bay,C48,2.2228,48.0,9.0,0.85,76500,2746.36243988584,3142.85545720443,5359.08930056447,12986.7576604765,7214.86536693136,5771.89229354509,0.0,0.0,0.0,0.0,0.5844
20,Summer,7/28/2021,Bay,C72,2.2017,72.0,21.0,0.9,189000,6785.13073383561,7764.70171779917,5674.32984765649,32084.9306905889,7639.26921204497,7639.26921204497,7639.26921204497,7639.26921204497,1527.85384240899,0.0,0.6054999999999997
57,Winter,1/25/2022,Bay,A0.5,2.1313,0.5,10.0,0.05,5000,179.500813064434,205.415389359766,315.240547092027,848.807690227219,424.40384511361,424.40384511361,0.0,0.0,0.0,0.0,0.6759
58,Winter,1/25/2022,Bay,A2,2.3217,2.0,18.0,0.55,99000,3554.1160986758,4067.22470932338,3467.6460180123,16806.3922664989,4668.44229624971,4668.44229624971,4668.44229624971,2801.06537774982,0.0,0.0,0.48550000000000004
59,Winter,1/25/2022,Bay,A6,2.2421,6.0,18.0,0.55,99000,3554.1160986758,4067.22470932338,3467.6460180123,16806.3922664989,4668.44229624971,4668.44229624971,4668.44229624971,2801.06537774982,0.0,0.0,0.5650999999999997
60,Winter,1/25/2022,Bay,A12,2.2417,12.0,16.0,0.95,152000,5456.8247171588,6244.6278365369,5989.57039474852,25803.7537829075,8063.67305715858,8063.67305715858,8063.67305715858,1612.73461143172,0.0,0.0,0.5655000000000001
61,Winter,1/25/2022,Bay,A24,2.2217,24.0,13.0,0.8,104000,3733.61691174023,4272.64009868314,5043.84875347244,17655.1999567262,6790.46152181775,6790.46152181775,4074.27691309065,0.0,0.0,0.0,0.5855000000000001
62,Winter,1/25/2022,Bay,A48,2.1789,48.0,16.0,0.95,152000,5456.8247171588,6244.6278365369,5989.57039474852,25803.7537829075,8063.67305715858,8063.67305715858,8063.67305715858,1612.73461143172,0.0,0.0,0.6282999999999999
63,Winter,1/25/2022,Bay,A72,2.1308,72.0,13.0,0.7,91000,3266.9147977727,3738.56008634775,4413.36765928838,15448.2999621354,5941.65383159053,5941.65383159053,3564.99229895432,0.0,0.0,0.0,0.6764000000000001
64,Winter,1/25/2022,Bay,B0.5,2.145,0.5,12.0,0.35,42000,1507.80682974125,1725.48927062204,2206.68382964419,7129.98459790864,2970.82691579527,2970.82691579527,1188.33076631811,0.0,0.0,0.0,0.6621999999999999
65,Winter,1/25/2022,Bay,B2,2.3126,2.0,11.0,0.5,55000,1974.50894370878,2259.56928295743,3152.40547092027,9336.88459249941,4244.0384511361,4244.0384511361,848.807690227219,0.0,0.0,0.0,0.4945999999999997
66,Winter,1/25/2022,Bay,B6,2.2516,6.0,13.0,0.45,58500,2100.15951285388,2403.36005550927,2837.16492382825,9931.04997565846,3819.63460602249,3819.63460602249,2291.78076361349,0.0,0.0,0.0,0.5556000000000001
67,Winter,1/25/2022,Bay,B12,2.2291,12.0,11.0,0.95,104500,3751.56699304668,4293.18163761912,5989.57039474852,17740.0807257489,8063.67305715858,8063.67305715858,1612.73461143172,0.0,0.0,0.0,0.5781000000000001
68,Winter,1/25/2022,Bay,B24,2.219,24.0,16.0,0.9,144000,5169.62341625571,5915.96321356127,5674.32984765649,24445.6614785439,7639.26921204497,7639.26921204497,7639.26921204497,1527.85384240899,0.0,0.0,0.5882000000000001
69,Winter,1/25/2022,Bay,B48,2.1816,48.0,20.0,0.9,180000,6462.02927031963,7394.95401695159,5674.32984765649,30557.0768481799,7639.26921204497,7639.26921204497,7639.26921204497,7639.26921204497,0.0,0.0,0.6255999999999999
70,Winter,1/25/2022,Bay,B72,2.1409,72.0,13.0,0.8,104000,3733.61691174023,4272.64009868314,5043.84875347244,17655.1999567262,6790.46152181775,6790.46152181775,4074.27691309065,0.0,0.0,0.0,0.6663000000000001
71,Winter,1/25/2022,Bay,C0.5,2.1934,0.5,13.0,0.15,19500,700.053170951294,801.120018503089,945.721641276082,3310.34999188615,1273.21153534083,1273.21153534083,763.926921204497,0.0,0.0,0.0,0.6137999999999999
72,Winter,1/25/2022,Bay,C2,2.2569,2.0,12.0,0.3,36000,1292.40585406393,1478.99080339032,1891.44328255216,6111.41536963598,2546.42307068166,2546.42307068166,1018.56922827266,0.0,0.0,0.0,0.5503
73,Winter,1/25/2022,Bay,C6,2.2833,6.0,4.0,0.45,18000,646.202927031963,739.495401695159,2837.16492382825,3055.70768481799,3055.70768481799,0.0,0.0,0.0,0.0,0.0,0.5238999999999998
74,Winter,1/25/2022,Bay,C12,2.2625,12.0,30.0,0.75,225000,8077.53658789954,9243.69252118949,4728.60820638041,38196.3460602249,6366.05767670414,6366.05767670414,6366.05767670414,6366.05767670414,6366.05767670414,6366.05767670414,0.5446999999999997
75,Winter,1/25/2022,Bay,C24,2.2663,24.0,27.0,0.95,256500,9208.39171020548,10537.809474156,5989.57039474852,43543.8345086563,8063.67305715858,8063.67305715858,8063.67305715858,8063.67305715858,8063.67305715858,3225.46922286343,0.5408999999999997
76,Winter,1/25/2022,Bay,C48,2.2228,48.0,17.0,0.85,144500,5187.57349756215,5936.50475249725,5359.08930056447,24530.5422475666,7214.86536693136,7214.86536693136,7214.86536693136,2885.94614677255,0.0,0.0,0.5844
77,Winter,1/25/2022,Bay,C72,2.2017,72.0,23.0,0.85,195500,7018.48179081938,8031.74172396687,5359.08930056447,33188.3806878843,7214.86536693136,7214.86536693136,7214.86536693136,7214.86536693136,4328.91922015882,0.0,0.6054999999999997
